City,Property_Type,BHK,Size_in_SqFt,Age_of_Property,Furnished_Status,Public_Transport,Nearby_Schools,Nearby_Hospitals,Parking,Security,Price_in_Lakhs,Good_Investment
Indore,Apartment,2,1054,2,Unfurnished,Low,6.0,6,Yes,Yes,42.45,0
Indore,Apartment,3,1499,7,Fully-Furnished,High,8.0,7,Yes,Yes,85.52,0
Indore,Apartment,2,1059,23,Unfurnished,Medium,4.0,8,No,Yes,34.16,1
Bangalore,Apartment,4,1805,14,Unfurnished,High,3.0,6,No,Yes,181.64,0
Pune,Apartment,4,1914,30,Unfurnished,High,7.0,4,Yes,No,154.76,0
Pune,Villa,4,1760,8,Fully-Furnished,High,3.0,8,No,No,155.05,0
Mumbai,Independent House,3,1342,38,Semi-Furnished,High,3.0,7,Yes,Yes,267.08,1
Bangalore,Independent House,1,400,1,Semi-Furnished,Medium,1.0,8,Yes,Yes,44.09,0
Jaipur,Apartment,2,969,7,Unfurnished,Medium,0.0,7,No,No,52.43,0
Bangalore,Villa,2,1193,6,Fully-Furnished,Medium,3.0,5,Yes,Yes,114.75,0
Jaipur,Apartment,2,892,38,Unfurnished,Medium,6.0,3,Yes,Yes,32.6,1
Mumbai,Apartment,2,1194,15,Fully-Furnished,High,8.0,8,No,Yes,283.63,0
Delhi,Villa,4,1894,34,Semi-Furnished,Low,8.0,8,No,No,232.12,1
Pune,Apartment,1,592,29,Unfurnished,High,9.0,8,Yes,No,40.9,1
Mumbai,Apartment,4,1975,9,Semi-Furnished,High,0.0,2,No,Yes,454.3,0
Pune,Apartment,3,1604,37,Semi-Furnished,High,4.0,2,Yes,Yes,147.68,0
Indore,Villa,3,1357,17,Unfurnished,High,6.0,5,Yes,Yes,53.65,0
Delhi,Villa,2,965,4,Fully-Furnished,Medium,6.0,5,Yes,No,160.04,0
Delhi,Apartment,2,900,28,Unfurnished,Low,9.0,5,Yes,Yes,93.06,1
Mumbai,Independent House,1,600,38,Unfurnished,Low,5.0,4,Yes,No,112.65,1
Delhi,Apartment,4,1937,33,Unfurnished,Medium,10.0,4,Yes,Yes,262.63,1
Jaipur,Apartment,4,1865,22,Unfurnished,Medium,9.0,1,Yes,No,74.24,1
Delhi,Villa,1,687,4,Semi-Furnished,High,,6,Yes,Yes,146.58,0
Pune,Villa,2,1029,29,Unfurnished,High,2.0,3,Yes,Yes,71.79,1
Pune,Independent House,3,1423,5,Semi-Furnished,Medium,8.0,2,Yes,No,103.93,1
Pune,Apartment,2,1130,3,Unfurnished,Low,9.0,7,No,No,88.33,0
Pune,Villa,1,483,28,Fully-Furnished,Low,3.0,3,Yes,Yes,31.73,1
Jaipur,Apartment,2,987,22,Semi-Furnished,Low,7.0,3,Yes,Yes,39.84,1
Bangalore,Independent House,4,2030,5,Fully-Furnished,Medium,0.0,7,Yes,Yes,211.81,0
Indore,Apartment,2,1014,31,Unfurnished,Medium,6.0,0,No,Yes,38.73,0
Mumbai,Villa,2,1185,17,Unfurnished,Low,5.0,8,Yes,No,207.2,1
Pune,Apartment,2,792,14,Unfurnished,Medium,0.0,6,Yes,Yes,64.74,0
Delhi,Apartment,3,1485,39,Semi-Furnished,Low,3.0,1,Yes,No,174.93,1
Pune,Apartment,3,1296,31,Fully-Furnished,Medium,4.0,5,Yes,Yes,112.97,0
Delhi,Apartment,2,953,8,Unfurnished,Medium,10.0,7,Yes,No,113.01,1
Indore,Apartment,2,728,36,Unfurnished,Medium,7.0,4,Yes,Yes,19.76,1
Indore,Independent House,4,1812,9,Fully-Furnished,Medium,3.0,5,No,Yes,70.13,0
Indore,Apartment,1,608,19,Unfurnished,High,2.0,7,Yes,Yes,19.49,1
Delhi,Apartment,3,1452,5,Semi-Furnished,Low,1.0,5,No,No,230.09,0
Pune,Apartment,1,400,2,Semi-Furnished,Medium,3.0,8,No,Yes,38.56,0
Indore,Apartment,3,1533,10,Fully-Furnished,High,10.0,8,No,Yes,81.14,0
Jaipur,Apartment,3,1638,16,Unfurnished,Medium,9.0,8,No,No,65.18,1
Delhi,Apartment,4,1688,31,Unfurnished,High,3.0,5,No,No,207.15,1
Delhi,Apartment,2,1186,3,Semi-Furnished,Medium,9.0,8,Yes,No,157.37,1
Pune,Apartment,4,1884,3,Fully-Furnished,Medium,4.0,2,Yes,Yes,210.57,0
Delhi,Apartment,5,2173,16,Unfurnished,Low,6.0,4,Yes,Yes,270.59,1
Delhi,Apartment,2,1121,40,Unfurnished,Medium,8.0,1,No,No,113.88,1
Indore,Apartment,2,1070,18,Semi-Furnished,Medium,1.0,7,Yes,Yes,44.6,0
Pune,Apartment,3,1310,4,Fully-Furnished,Low,4.0,3,Yes,Yes,109.75,0
Indore,Apartment,2,1059,31,Fully-Furnished,Medium,10.0,5,Yes,Yes,32.44,1
Indore,Independent House,2,1000,21,Fully-Furnished,Medium,9.0,5,No,No,34.06,1
Pune,Independent House,2,1035,5,Unfurnished,Low,8.0,4,No,Yes,82.17,0
Mumbai,Villa,4,1936,34,Unfurnished,Medium,2.0,0,Yes,No,284.5,1
Indore,Apartment,3,1559,21,Semi-Furnished,Medium,0.0,6,Yes,Yes,56.49,1
Jaipur,Villa,2,1058,0,Fully-Furnished,Low,1.0,7,Yes,No,44.09,0
Jaipur,Independent House,1,400,19,Unfurnished,Medium,5.0,0,Yes,No,13.69,1
Delhi,Villa,1,632,21,Unfurnished,High,4.0,6,Yes,Yes,82.93,1
Jaipur,Apartment,3,1451,10,Semi-Furnished,Medium,0.0,3,Yes,Yes,65.99,0
Delhi,Apartment,1,401,12,Unfurnished,Medium,0.0,5,No,No,58.49,0
Mumbai,Independent House,3,1367,2,Unfurnished,Medium,10.0,8,Yes,Yes,338.33,0
Pune,Apartment,2,824,8,Semi-Furnished,Medium,3.0,4,Yes,No,61.79,1
Pune,Apartment,3,1287,11,Semi-Furnished,High,3.0,7,No,No,140.05,0
Pune,Apartment,3,1276,22,Semi-Furnished,Medium,5.0,4,Yes,Yes,139.2,0
Jaipur,Apartment,3,1298,13,Unfurnished,Low,5.0,1,Yes,Yes,47.94,1
Mumbai,Apartment,2,1092,32,Semi-Furnished,Medium,9.0,3,Yes,Yes,149.79,1
Jaipur,Apartment,2,1079,17,Semi-Furnished,High,5.0,1,No,No,36.53,1
Jaipur,Apartment,2,962,40,Semi-Furnished,Low,0.0,6,Yes,Yes,30.37,1
Mumbai,Apartment,3,1444,8,Semi-Furnished,High,9.0,6,Yes,No,307.25,0
Mumbai,Apartment,3,1572,22,Unfurnished,High,8.0,2,No,No,324.45,0
Mumbai,Apartment,2,762,9,Unfurnished,Low,10.0,6,No,Yes,162.14,0
Mumbai,Apartment,3,1229,18,Unfurnished,High,6.0,0,Yes,Yes,210.22,1
Pune,Villa,3,1329,4,Unfurnished,Medium,6.0,0,No,Yes,107.42,0
Bangalore,Villa,3,1324,22,Semi-Furnished,High,10.0,8,No,No,114.41,1
Bangalore,Apartment,3,1317,29,Fully-Furnished,Medium,6.0,5,No,Yes,151.09,0
Mumbai,Apartment,2,1089,24,Semi-Furnished,Medium,1.0,4,No,Yes,170.71,1
Bangalore,Apartment,3,1362,27,Semi-Furnished,Medium,1.0,5,Yes,No,100.89,1
Bangalore,Independent House,3,1497,33,Unfurnished,High,5.0,5,Yes,Yes,123.8,1
Mumbai,Apartment,3,1306,24,Unfurnished,Low,6.0,0,Yes,Yes,207.29,1
Bangalore,Apartment,3,1452,9,Unfurnished,Medium,2.0,4,Yes,Yes,152.67,0
Jaipur,Apartment,3,1646,13,Unfurnished,Low,3.0,8,No,Yes,54.95,1
Delhi,Apartment,1,510,29,Unfurnished,Medium,2.0,3,No,Yes,54.51,1
Delhi,Independent House,3,1627,40,Semi-Furnished,Medium,6.0,2,Yes,Yes,230.37,0
Mumbai,Independent House,3,1387,24,Fully-Furnished,Medium,6.0,0,Yes,No,240.28,1
Pune,Apartment,2,805,13,Unfurnished,Medium,3.0,1,Yes,Yes,70.99,0
Mumbai,Apartment,3,1571,34,Unfurnished,Low,6.0,2,Yes,No,243.62,1
Pune,Apartment,2,1091,33,Semi-Furnished,Low,4.0,3,No,Yes,67.31,1
Delhi,Apartment,2,1145,9,Unfurnished,Low,0.0,6,Yes,Yes,142.59,1
Mumbai,Apartment,2,1047,34,Fully-Furnished,Medium,9.0,5,Yes,Yes,170.84,1
Indore,Apartment,3,1371,10,Semi-Furnished,High,3.0,7,Yes,Yes,66.41,0
Jaipur,Apartment,2,936,10,,Low,6.0,8,Yes,Yes,42.99,0
Bangalore,Apartment,3,1611,20,Unfurnished,High,1.0,5,No,Yes,164.89,0
Pune,Independent House,2,1194,20,Semi-Furnished,High,1.0,6,Yes,Yes,119.15,0
Indore,Apartment,2,1104,21,Semi-Furnished,Medium,0.0,3,No,Yes,43.81,0
Bangalore,Independent House,3,1551,6,Semi-Furnished,Medium,1.0,1,Yes,Yes,116.64,1
Bangalore,Villa,2,1122,16,Unfurnished,High,9.0,8,Yes,Yes,88.94,1
Mumbai,Apartment,3,1629,1,Unfurnished,Low,7.0,8,Yes,Yes,381.61,0
Bangalore,Villa,3,1642,11,Semi-Furnished,Medium,10.0,3,No,No,154.25,0
Jaipur,Apartment,1,716,17,Semi-Furnished,Medium,7.0,2,Yes,Yes,33.34,0
Indore,Apartment,4,1694,10,Fully-Furnished,Medium,7.0,5,Yes,Yes,70.39,0
Bangalore,Apartment,1,665,15,Semi-Furnished,High,0.0,2,Yes,No,60.99,0
Mumbai,Independent House,4,1719,17,Semi-Furnished,Low,0.0,0,Yes,Yes,371.87,0
Jaipur,Apartment,4,2061,34,Unfurnished,Medium,9.0,3,Yes,Yes,54.7,1
Delhi,Apartment,3,1600,25,Semi-Furnished,Medium,3.0,0,Yes,Yes,203.93,1
Indore,Independent House,1,400,15,,Medium,5.0,1,Yes,No,15.44,0
Bangalore,Apartment,3,1675,5,Fully-Furnished,Medium,7.0,2,Yes,Yes,178.29,0
Mumbai,Villa,4,2148,11,Fully-Furnished,Medium,1.0,7,Yes,No,398.35,1
Delhi,Villa,2,1129,12,Unfurnished,High,2.0,3,Yes,No,137.83,1
Delhi,Independent House,3,1236,3,Fully-Furnished,Medium,5.0,3,No,Yes,191.89,0
Pune,Independent House,2,775,38,Unfurnished,High,9.0,8,Yes,Yes,54.41,1
Jaipur,Independent House,3,1375,1,Unfurnished,Medium,3.0,6,No,Yes,75.85,0
Bangalore,Apartment,4,1758,25,Semi-Furnished,Low,1.0,1,Yes,Yes,122.95,1
Mumbai,Independent House,3,1529,26,Unfurnished,Low,6.0,2,No,Yes,249.76,1
Pune,Apartment,5,2507,26,Semi-Furnished,Low,3.0,3,Yes,No,222.23,0
Jaipur,Apartment,3,1263,14,Unfurnished,Medium,7.0,3,Yes,Yes,60.37,0
Pune,Apartment,1,598,7,Unfurnished,Medium,7.0,7,No,Yes,40.56,1
Indore,Villa,3,1318,6,Semi-Furnished,High,6.0,5,No,No,63.47,0
Jaipur,Independent House,1,400,39,Semi-Furnished,High,9.0,2,No,No,17.59,0
Jaipur,Independent House,2,1037,11,Fully-Furnished,Low,8.0,8,No,No,47.74,0
Bangalore,Apartment,4,1900,12,Semi-Furnished,Low,3.0,7,Yes,Yes,137.68,1
Jaipur,Apartment,3,1380,16,Semi-Furnished,Medium,6.0,8,Yes,Yes,53.68,1
Pune,Apartment,3,1322,16,Unfurnished,Medium,9.0,4,Yes,Yes,92.01,1
Jaipur,Independent House,4,1978,35,Unfurnished,Low,9.0,2,No,No,72.1,1
Bangalore,Villa,2,1142,20,Unfurnished,Low,0.0,3,Yes,Yes,84.86,1
Bangalore,Apartment,4,1755,7,Semi-Furnished,High,3.0,4,No,No,173.93,0
Indore,Apartment,3,1302,4,Semi-Furnished,High,1.0,8,Yes,Yes,52.44,0
Pune,Apartment,3,1402,25,Unfurnished,Low,8.0,8,Yes,No,73.73,1
Delhi,Apartment,2,763,15,Semi-Furnished,Medium,4.0,2,Yes,No,151.93,0
Delhi,Independent House,2,1057,35,Semi-Furnished,Medium,2.0,6,Yes,No,139.46,1
Jaipur,Apartment,1,691,27,Unfurnished,High,3.0,5,No,Yes,34.36,0
Indore,Apartment,3,1212,28,Unfurnished,Medium,5.0,3,Yes,Yes,33.59,1
Mumbai,Apartment,3,1406,11,Fully-Furnished,Low,9.0,4,No,Yes,377.42,0
Jaipur,Apartment,2,806,36,Semi-Furnished,High,0.0,1,No,Yes,30.33,1
Indore,Independent House,4,2070,29,Fully-Furnished,Medium,6.0,6,Yes,Yes,82.69,0
Pune,Apartment,3,1361,22,Unfurnished,Medium,7.0,3,No,No,115.35,0
Pune,Apartment,3,1273,15,Fully-Furnished,Medium,6.0,1,Yes,Yes,135.28,0
Pune,Apartment,3,1558,13,Unfurnished,Medium,6.0,5,Yes,No,121.25,1
Pune,Villa,2,918,9,Unfurnished,Medium,8.0,1,Yes,Yes,62.7,1
Pune,Villa,3,1315,6,Fully-Furnished,Low,3.0,1,Yes,Yes,114.39,0
Indore,Villa,2,963,36,Unfurnished,Medium,6.0,6,Yes,Yes,32.88,1
Indore,Apartment,4,1873,28,Semi-Furnished,Low,8.0,0,No,No,57.18,1
Bangalore,Apartment,2,827,2,Unfurnished,High,4.0,6,Yes,Yes,78.51,0
Delhi,Apartment,3,1275,14,Semi-Furnished,Low,1.0,4,Yes,No,134.16,1
Pune,Villa,3,1382,35,Fully-Furnished,Low,4.0,0,Yes,Yes,84.25,1
Mumbai,Apartment,3,1408,18,Unfurnished,Medium,3.0,5,Yes,No,294.72,0
Indore,Apartment,2,1018,12,Semi-Furnished,High,7.0,6,No,Yes,48.52,0
Mumbai,Independent House,2,892,20,Unfurnished,High,4.0,0,No,Yes,217.33,0
Mumbai,Independent House,2,1023,36,,Medium,8.0,8,Yes,No,248.52,0
Mumbai,Apartment,3,1461,26,Unfurnished,Low,8.0,6,No,No,315.24,0
Bangalore,Apartment,2,1192,28,Unfurnished,High,2.0,0,Yes,Yes,99.43,1
Indore,Apartment,3,1568,19,Unfurnished,Medium,9.0,2,Yes,No,47.77,1
Mumbai,Villa,3,1441,24,Unfurnished,Low,5.0,4,Yes,Yes,247.9,1
Pune,Independent House,1,400,5,Fully-Furnished,High,5.0,3,Yes,No,36.59,0
Jaipur,Apartment,3,1349,35,Unfurnished,Low,,1,No,Yes,46.69,1
Mumbai,Apartment,4,2150,1,Unfurnished,High,10.0,0,Yes,Yes,575.63,0
Bangalore,Independent House,4,1780,21,Unfurnished,High,9.0,3,Yes,Yes,171.1,0
Indore,Independent House,3,1419,31,Unfurnished,Medium,2.0,6,Yes,No,57.12,0
Bangalore,Apartment,2,826,15,Semi-Furnished,High,0.0,3,Yes,No,85.78,0
Mumbai,Apartment,3,1441,17,Fully-Furnished,High,6.0,8,Yes,Yes,278.47,1
Indore,Apartment,3,1546,4,Unfurnished,Low,,7,Yes,No,52.44,1
Jaipur,Apartment,2,1149,35,Fully-Furnished,Medium,9.0,7,No,Yes,48.51,0
Mumbai,Independent House,3,1377,29,Semi-Furnished,Low,6.0,4,No,No,258.16,1
Bangalore,Independent House,4,1854,18,Unfurnished,Medium,0.0,0,Yes,Yes,187.94,0
Delhi,Villa,2,907,22,Semi-Furnished,High,7.0,8,No,Yes,134.06,0
Pune,Apartment,2,827,33,Semi-Furnished,Medium,2.0,1,Yes,Yes,57.63,1
Bangalore,Independent House,3,1527,12,Semi-Furnished,Medium,6.0,5,Yes,Yes,107.98,1
Indore,Apartment,3,1433,28,Fully-Furnished,Medium,2.0,4,Yes,Yes,46.95,1
Mumbai,Apartment,3,1662,35,Unfurnished,High,2.0,7,Yes,No,326.41,1
Pune,Apartment,3,1478,21,Fully-Furnished,Low,9.0,2,No,Yes,120.5,0
Mumbai,Apartment,2,1023,35,Semi-Furnished,Medium,8.0,5,Yes,No,203.35,1
Indore,Villa,3,1423,8,Semi-Furnished,Low,1.0,5,No,No,57.71,0
Mumbai,Apartment,2,793,38,Semi-Furnished,Medium,3.0,2,Yes,Yes,139.01,1
Delhi,Apartment,2,1150,18,Unfurnished,Low,5.0,6,Yes,Yes,124.21,1
Pune,Apartment,3,1451,37,Fully-Furnished,Medium,2.0,3,No,No,107.48,1
Pune,Apartment,2,1106,5,Semi-Furnished,Medium,9.0,4,Yes,No,95.11,0
Indore,Apartment,5,2237,14,Unfurnished,Low,9.0,8,Yes,No,93.89,0
Delhi,Apartment,1,493,19,Unfurnished,High,6.0,5,Yes,No,84.86,0
Bangalore,Independent House,2,1031,8,Semi-Furnished,Low,6.0,3,Yes,Yes,86.33,1
Mumbai,Apartment,2,875,31,Unfurnished,Medium,4.0,7,No,No,142.08,1
Jaipur,Apartment,2,970,3,Unfurnished,Low,2.0,8,Yes,Yes,32.45,1
Mumbai,Apartment,2,993,17,Semi-Furnished,Medium,1.0,4,Yes,Yes,200.89,1
Mumbai,Independent House,1,719,4,Unfurnished,Medium,3.0,1,No,No,143.4,1
Bangalore,Apartment,3,1551,19,Unfurnished,Medium,3.0,5,Yes,No,181.6,0
Mumbai,Apartment,2,1031,22,Unfurnished,Low,10.0,7,Yes,No,155.74,1
Delhi,Apartment,3,1315,10,Unfurnished,Medium,7.0,4,Yes,Yes,187.04,0
Delhi,Apartment,2,1076,36,Semi-Furnished,Medium,7.0,0,Yes,No,120.05,1
Pune,Apartment,2,974,21,Semi-Furnished,High,4.0,7,Yes,No,82.36,0
Indore,Villa,4,1919,3,Unfurnished,Medium,5.0,8,Yes,Yes,71.61,0
Jaipur,Apartment,3,1619,28,Unfurnished,Medium,7.0,0,No,Yes,67.99,0
Mumbai,Apartment,1,503,33,Semi-Furnished,Low,0.0,7,Yes,Yes,94.37,1
Mumbai,Villa,1,460,12,Unfurnished,Medium,4.0,1,Yes,Yes,104.87,0
Bangalore,Villa,3,1667,8,Unfurnished,Low,3.0,3,Yes,Yes,127.07,1
Indore,Apartment,2,1042,30,Unfurnished,Low,3.0,1,Yes,Yes,37.73,1
Delhi,Apartment,1,590,6,Fully-Furnished,Low,10.0,1,No,No,84.22,0
Jaipur,Apartment,3,1668,3,Semi-Furnished,Medium,1.0,2,Yes,Yes,61.07,1
Pune,Apartment,3,1318,18,Semi-Furnished,Medium,9.0,7,Yes,Yes,102.06,1
Delhi,Villa,3,1351,29,Semi-Furnished,High,0.0,3,Yes,Yes,193.05,0
Indore,Independent House,3,1574,30,Semi-Furnished,Low,5.0,6,Yes,Yes,41.84,1
Pune,Independent House,2,726,34,Semi-Furnished,Medium,,2,Yes,No,58.34,0
Bangalore,Apartment,1,597,20,Semi-Furnished,High,4.0,2,Yes,Yes,49.71,1
Bangalore,Apartment,4,1882,30,Unfurnished,Medium,7.0,1,Yes,Yes,127.83,1
Mumbai,Apartment,1,675,18,Semi-Furnished,Medium,8.0,5,Yes,No,139.08,0
Indore,Independent House,2,761,30,Semi-Furnished,Medium,10.0,5,Yes,Yes,29.58,0
Jaipur,Apartment,2,841,31,Semi-Furnished,Low,10.0,0,Yes,No,25.12,1
Pune,Apartment,4,2082,1,Unfurnished,Medium,1.0,6,Yes,Yes,200.73,0
Delhi,Villa,3,1447,9,Unfurnished,High,10.0,3,No,Yes,149.93,1
Indore,Villa,3,1636,1,Semi-Furnished,Low,3.0,2,Yes,No,68.1,0
Indore,Independent House,3,1328,1,Semi-Furnished,Low,10.0,7,No,Yes,43.74,1
Bangalore,Apartment,2,1009,23,Fully-Furnished,High,8.0,1,Yes,Yes,87.97,0
Mumbai,Villa,3,1503,16,Unfurnished,High,4.0,8,No,Yes,406.99,0
Mumbai,Independent House,1,627,31,Semi-Furnished,Medium,2.0,7,Yes,Yes,100.42,1
Pune,Apartment,2,812,15,Semi-Furnished,Medium,5.0,7,Yes,No,65.39,0
Bangalore,Apartment,3,1543,15,Fully-Furnished,Medium,2.0,2,Yes,No,125.49,1
Indore,Apartment,1,707,38,Semi-Furnished,Low,4.0,3,Yes,Yes,24.29,1
Jaipur,Independent House,2,1174,30,Semi-Furnished,Medium,2.0,1,Yes,Yes,48.28,0
Bangalore,Apartment,2,1193,23,Semi-Furnished,Medium,5.0,1,Yes,No,111.04,0
Pune,Apartment,2,1039,0,Semi-Furnished,High,9.0,3,Yes,No,117.14,0
Pune,Apartment,1,470,10,Fully-Furnished,Low,4.0,5,Yes,Yes,37.93,0
Bangalore,Villa,2,998,20,Unfurnished,Medium,8.0,4,Yes,No,96.88,0
Pune,Apartment,2,920,3,Unfurnished,Medium,2.0,0,Yes,Yes,93.95,0
Bangalore,Apartment,3,1315,6,Fully-Furnished,Medium,5.0,0,Yes,No,140.63,0
Delhi,Apartment,3,1294,25,Semi-Furnished,Low,7.0,5,Yes,No,137.26,1
Bangalore,Independent House,3,1401,11,Semi-Furnished,Medium,6.0,2,Yes,Yes,106.93,1
Bangalore,Apartment,2,980,30,Semi-Furnished,High,5.0,2,Yes,Yes,92.32,0
Pune,Apartment,3,1459,16,Unfurnished,Medium,1.0,6,Yes,Yes,93.5,1
Pune,Villa,1,628,32,Semi-Furnished,Medium,6.0,0,Yes,Yes,36.16,1
Mumbai,Apartment,1,521,10,Semi-Furnished,Medium,7.0,0,No,Yes,128.13,0
Mumbai,Independent House,1,400,27,Unfurnished,Medium,0.0,2,Yes,No,68.67,1
Delhi,Apartment,2,1050,31,Unfurnished,Medium,8.0,7,No,Yes,174.73,0
Mumbai,Apartment,2,949,0,Fully-Furnished,High,3.0,0,Yes,Yes,227.63,0
Bangalore,Apartment,3,1566,27,Unfurnished,High,7.0,3,No,Yes,124.6,1
Pune,Apartment,2,991,6,Fully-Furnished,Medium,9.0,8,No,Yes,95.85,0
Mumbai,Villa,3,1359,1,Unfurnished,Medium,6.0,3,Yes,Yes,306.31,0
Mumbai,Apartment,3,1575,23,Semi-Furnished,High,9.0,7,Yes,Yes,334.43,0
Delhi,Villa,2,975,3,Fully-Furnished,Medium,6.0,6,Yes,Yes,158.25,0
Indore,Apartment,3,1369,18,Semi-Furnished,Medium,1.0,2,Yes,No,76.24,0
Delhi,Apartment,3,1651,25,Unfurnished,Low,0.0,6,No,Yes,249.79,0
Bangalore,Apartment,2,755,10,Semi-Furnished,High,3.0,6,No,No,86.13,0
Pune,Independent House,3,1260,39,Unfurnished,Medium,1.0,2,No,Yes,66.96,1
Delhi,Apartment,2,977,10,Unfurnished,High,7.0,1,No,No,147.13,0
Mumbai,Apartment,2,780,2,Fully-Furnished,High,9.0,8,No,Yes,225.4,0
Pune,Apartment,1,635,11,Semi-Furnished,Low,6.0,0,Yes,No,55.93,0
Pune,Apartment,2,774,2,Semi-Furnished,High,,6,Yes,Yes,87.84,0
Mumbai,Apartment,3,1274,26,Unfurnished,High,10.0,3,Yes,No,230.91,1
Delhi,Independent House,1,606,1,Unfurnished,Medium,5.0,1,Yes,Yes,89.83,0
Mumbai,Apartment,2,1030,15,,Low,0.0,1,Yes,No,173.71,1
Indore,Independent House,3,1575,1,Semi-Furnished,Low,8.0,7,Yes,No,74.97,0
Pune,Apartment,3,1430,29,Semi-Furnished,Medium,5.0,6,Yes,No,116.47,0
Jaipur,Villa,2,1038,19,Semi-Furnished,Medium,9.0,6,Yes,Yes,40.15,1
Jaipur,Independent House,4,1926,37,Fully-Furnished,Medium,,4,No,Yes,78.07,1
Bangalore,Apartment,4,2007,27,Unfurnished,Low,0.0,7,Yes,No,152.93,1
Mumbai,Independent House,3,1260,24,Unfurnished,High,7.0,1,Yes,Yes,222.44,1
Mumbai,Apartment,1,400,31,Unfurnished,Medium,5.0,1,No,Yes,81.63,0
Bangalore,Independent House,3,1605,9,Unfurnished,Low,7.0,4,Yes,Yes,138.61,1
Bangalore,Villa,1,400,39,Unfurnished,Medium,7.0,0,Yes,Yes,26.8,1
Bangalore,Apartment,4,1840,32,Fully-Furnished,Medium,10.0,5,Yes,No,136.9,1
Pune,Apartment,4,1683,12,Unfurnished,Low,7.0,3,Yes,Yes,142.28,0
Indore,Apartment,4,1960,40,Fully-Furnished,Medium,9.0,5,No,Yes,69.42,1
Mumbai,Apartment,3,1354,36,Unfurnished,Low,6.0,6,Yes,Yes,198.74,1
Pune,Apartment,2,1105,15,Fully-Furnished,High,6.0,2,Yes,Yes,95.67,0
Bangalore,Apartment,2,1070,21,Semi-Furnished,High,9.0,7,Yes,No,100.83,0
Mumbai,Apartment,2,1031,19,Fully-Furnished,Medium,3.0,6,No,Yes,227.23,0
Pune,Villa,3,1642,26,Unfurnished,High,8.0,0,Yes,Yes,130.89,0
Indore,Apartment,3,1535,40,Semi-Furnished,High,1.0,5,No,Yes,38.87,1
